# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10282
#@/user_id	713eb3a7-a407-4821-ba6a-356b9c53ef46
a 	啊	c=44 d=2.14059 t=10094
kan jia 	砍價	c=1 d=1 t=6436
kan kan 	看看	c=11 d=1.06926 t=8973
kan le 	看了	c=1 d=1 t=6895
kan lian 	看臉	c=2 d=1 t=9170
kan qi lai 	看起來	c=3 d=1 t=5958
kan si 	看似	c=1 d=1 t=7771
kan wan 	看完	c=4 d=1.00005 t=9073
kan xia lai 	看下來	c=1 d=1 t=8998
kan zhe 	看着	c=3 d=1 t=8412
kan zhun 	看準	c=1 d=1 t=1910
kao 	考	c=3 d=2.92654 t=735
kao 	靠	c=4 d=1.99501 t=8404
kao bei 	拷貝	c=1 d=1 t=8283
kao lv 	考慮	c=4 d=1 t=9225
kao shi 	考試	c=1 d=1 t=10273
ke 	克	c=2 d=1.54335 t=7381
ke 	可	c=15 d=1.04417 t=10080
ke 	課	c=1 d=1 t=531
ke hai xing 	可還行	c=2 d=1 t=6009
ke ji 	科技	c=4 d=1.98511 t=6139
ke jin 	課金	c=1 d=1 t=9460
ke neng 	可能	c=24 d=2.81618 t=9665
ke wu 	可惡	c=1 d=1 t=965
ke xi 	可惜	c=2 d=1.50409 t=10136
ke xuan 	可選	c=1 d=1 t=2500
ke xue 	科學	c=2 d=1.99005 t=6117
ke yi 	可以	c=77 d=3.77152 t=10239
ke yi de hua 	可以的話	c=1 d=1 t=3428
ke yong 	可用	c=3 d=1.14156 t=4488
ke zi 	殼子	c=1 d=1 t=3987
ken ding 	肯定	c=3 d=1.00002 t=3578
keng 	坑	c=1 d=1 t=796
kong 	空	c=16 d=4.77157 t=9962
kong bu 	恐怖	c=1 d=1 t=8951
kong ge 	空格	c=3 d=1.00001 t=5222
kong hang 	空行	c=1 d=1 t=5219
kong jian 	空間	c=2 d=1 t=4166
kong qi 	空氣	c=1 d=1 t=7614
kong tiao 	空調	c=1 d=1 t=9367
kong zhan 	空棧	c=1 d=1 t=9930
kong zhi 	控制	c=2 d=1 t=10010
kou 	釦	c=2 d=1.00006 t=3491
kou wei 	口味	c=1 d=1 t=4459
ku 	庫	c=2 d=1 t=8607
ku yun 	哭暈	c=1 d=1 t=8398
kua 	跨	c=2 d=1.0076 t=4440
kua hang 	跨行	c=1 d=1 t=5077
kua qu 	跨區	c=1 d=1 t=5897
kuai 	塊	c=6 d=1.98544 t=7393
kuai 	快	c=7 d=1 t=10087
kuai jie fang shi 	快捷方式	c=1 d=1 t=1791
kuai jie jian 	快捷鍵	c=3 d=1 t=8055
kuai su 	快速	c=4 d=1 t=5778
kuang 	礦	c=1 d=1 t=9180
kuang jia 	框架	c=1 d=1 t=6028
kuang mai 	礦脈	c=1 d=1 t=5182
kuang xi 	狂喜	c=1 d=1 t=3481
kui 	虧	c=1 d=1 t=9249
kuo hao 	括號	c=10 d=1.85567 t=5735
kuo rong 	擴容	c=1 d=1 t=1765
kuo zhan 	擴展	c=3 d=1.24908 t=9841
la 	啦	c=2 d=1.00003 t=9241
la 	拉	c=5 d=1 t=7990
la di 	拉低	c=1 d=1 t=3475
la ji 	垃圾	c=1 d=0.1 t=9205
la ji lao 	垃圾老	c=1 d=1 t=9206
lai 	來	c=28 d=3.22839 t=9254
lai kan 	來看	c=1 d=1 t=5354
lai ma 	來嗎	c=1 d=1 t=6990
lai shuo 	來說	c=2 d=1.01186 t=8373
lai yuan 	來源	c=6 d=1 t=7897
lai zhe 	來着	c=2 d=1.00001 t=9306
lan 	懶	c=3 d=1 t=10229
lan 	欄	c=2 d=1.00995 t=3160
lan 	藍	c=1 d=1 t=5249
lan de 	懶得	c=2 d=1 t=3417
lan wei 	爛尾	c=1 d=1 t=10153
lan ya 	藍牙	c=2 d=1.99005 t=3166
lang 	狼	c=1 d=1 t=7365
lang fei 	浪費	c=1 d=1 t=7855
lao 	佬	c=5 d=1 t=5187
lao 	老	c=3 d=0.911181 t=9205
lao fan 	老番	c=1 d=1 t=6993
lao shi 	老師	c=2 d=1.956 t=711
le 	了	c=258 d=3.51841 t=10253
lei 	雷	c=1 d=1 t=7258
lei 	類	c=27 d=1.66037 t=9921
lei mu 	淚目	c=1 d=1 t=4269
lei si 	類似	c=8 d=1.9465 t=9451
lei xing 	類型	c=6 d=1.11541 t=8166
leng 	冷	c=2 d=1 t=6383
leng cang 	冷藏	c=1 d=1 t=7646
leng men 	冷門	c=1 d=1 t=10128
leng zhan 	冷顫	c=1 d=1 t=9347
li 	力	c=7 d=1.39481 t=6876
li 	梨	c=1 d=1 t=9502
li 	理	c=1 d=1 t=8888
li 	裏	c=20 d=1.0004 t=9865
li 	離	c=2 d=1.96561 t=5259
li 	黎	c=1 d=1 t=9500
li dian chi 	鋰電池	c=1 d=1 t=6330
li fa 	立法	c=3 d=2.98506 t=1072
li hai 	厲害	c=2 d=0.1 t=5959
li jie 	理解	c=1 d=1 t=8216
li ke 	理科	c=1 d=1 t=6079
li lun 	理論	c=1 d=1 t=4665
li lun shang 	理論上	c=1 d=1 t=7669
li mian 	裏面	c=1 d=1 t=10200
li pu 	離譜	c=2 d=1.17204 t=4118
li ru 	例如	c=4 d=1.99701 t=7743
li run 	利潤	c=3 d=2.92669 t=8330
li shi 	歷史	c=3 d=1 t=8335
li wu 	禮物	c=1 d=1 t=5899
li xian 	離線	c=1 d=1 t=8515
li yong 	利用	c=1 d=1 t=5463
li zi 	離子	c=1 d=0.809412 t=6698
lian 	練	c=1 d=1 t=1934
lian 	臉	c=2 d=1.70822 t=2152
lian 	連	c=3 d=1.79453 t=7150
lian biao 	鏈表	c=26 d=3.78099 t=9834
lian he 	聯合	c=1 d=1 t=6053
lian jie 	連接	c=10 d=2.36694 t=9929
lian jie 	鏈接	c=6 d=1.01357 t=7899
lian xi 	聯繫	c=1 d=1 t=6831
liang 	亮	c=1 d=1 t=1461
liang 	兩	c=3 d=1.02193 t=8488
liang 	涼	c=1 d=1 t=6629
liang 	量	c=1 d=1 t=5992
liang dian 	亮點	c=1 d=1 t=6296
liang feng 	涼風	c=1 d=1 t=6927
liang ge 	兩個	c=0 d=0.1 t=1318
liang gong 	涼宮	c=4 d=1 t=9976
liang hao 	良好	c=2 d=1.00002 t=10016
liang nian 	兩年	c=1 d=1 t=4007
liang zhi 	兩值	c=1 d=1 t=9807
liao 	聊	c=3 d=1.78792 t=760
liao tian 	聊天	c=2 d=1 t=3320
lie biao 	列表	c=1 d=1 t=2167
lie kai 	裂開	c=1 d=1 t=4103
lie sha 	獵殺	c=1 d=1 t=3912
lin shi 	臨時	c=7 d=2.27898 t=9926
ling 	另	c=3 d=1.63763 t=4355
ling hun 	靈魂	c=1 d=1 t=1834
ling san 	零散	c=1 d=1 t=9989
ling shou 	零售	c=2 d=1.00029 t=9123
ling wai 	另外	c=3 d=1 t=6877
liu chang 	流暢	c=1 d=1 t=2531
liu cheng tu 	流程圖	c=1 d=1 t=5277
liu chu 	流出	c=1 d=1 t=5326
liu lan qi 	瀏覽器	c=1 d=1 t=10225
liu lei 	流淚	c=1 d=1 t=1424
long 	龍	c=4 d=1 t=9228
lou 	樓	c=3 d=1.0165 t=7028
lu 	錄	c=0 d=0.1 t=2408
lu jing 	路徑	c=5 d=1.99005 t=8543
luan ma 	亂碼	c=5 d=2.00557 t=10282
luan xu 	亂序	c=2 d=1.43387 t=6931
lun hui 	輪迴	c=2 d=1.57984 t=7287
luo 	落	c=1 d=1 t=1425
luo ji 	邏輯	c=5 d=1.0001 t=10060
luo ji tu 	邏輯圖	c=1 d=1 t=5388
luo ma 	羅馬	c=1 d=1 t=9096
lv 	率	c=1 d=1 t=1915
lv 	綠	c=6 d=3.09756 t=6520
lv 	鋁	c=2 d=1 t=7791
lv guang 	綠光	c=1 d=1 t=8722
lv hua na 	氯化鈉	c=1 d=1 t=6577
lv xing 	旅行	c=1 d=1 t=5915
lve wei 	略微	c=1 d=1 t=5813
lve you 	略有	c=1 d=1 t=2374
ma 	嗎	c=51 d=1.66652 t=10159
ma 	嘛	c=3 d=1.00089 t=4259
ma 	碼	c=3 d=1 t=6251
ma 	罵	c=2 d=1.99005 t=1616
ma 	馬	c=2 d=1 t=9980
ma fan 	麻煩	c=5 d=1.99061 t=9881
ma lu 	馬路	c=1 d=1 t=6063
ma shang 	馬上	c=4 d=1.00005 t=9068
mai 	買	c=9 d=1.00001 t=8906
mai 	賣	c=6 d=2.2406 t=9242
mai lai 	買來	c=1 d=1 t=421
man 	慢	c=2 d=1.00006 t=2813
man fen 	滿分	c=1 d=1 t=7297
man wu zhi jing 	漫無止境	c=2 d=1.9802 t=7137
mang qu 	盲區	c=1 d=1 t=10073
mao xian 	冒險	c=1 d=1 t=2913
mei 	妹	c=1 d=1 t=3199
mei 	每	c=1 d=1 t=10007
mei 	沒	c=44 d=2.01531 t=10148
mei 	美	c=1 d=1 t=1525
mei ban fa 	沒辦法	c=2 d=1.07847 t=6969
mei ci 	每次	c=6 d=1.00738 t=9457
mei cuo 	沒錯	c=2 d=1.94176 t=4843
mei ji 	每集	c=2 d=1 t=10113
mei jian 	沒見	c=0 d=0.1 t=4976
mei jian dao 	沒見到	c=1 d=1 t=4977
mei ju 	枚舉	c=1 d=1 t=3733
mei le 	沒了	c=2 d=1 t=6015
mei qi zao 	煤氣竈	c=1 d=1 t=1432
mei ren 	沒人	c=1 d=1 t=3897
mei shi 	沒事	c=5 d=1 t=9874
mei shi gan 	沒事幹	c=1 d=1 t=5659
mei shi le 	沒事了	c=1 d=1 t=3410
mei shuo 	沒說	c=2 d=1 t=9404
mei tian 	每天	c=2 d=1 t=8859
mei wen ti 	沒問題	c=4 d=1.00033 t=8683
mei xiang dao 	沒想到	c=1 d=1 t=4255
mei you 	沒有	c=24 d=1.24703 t=9556
mei zhen 	每幀	c=2 d=1.90937 t=8441
mei zhou 	每週	c=2 d=1.99501 t=1595
mei zu 	魅族	c=3 d=1 t=5673
men 	門	c=5 d=1.68733 t=9476
meng 	猛	c=1 d=1 t=4609
meng 	萌	c=3 d=1 t=8757
meng bi 	蒙逼	c=1 d=1 t=6761
meng xin 	萌新	c=2 d=1 t=10090
mi 	米	c=2 d=1.9802 t=7978
mi lu 	祕錄	c=0 d=0.1 t=7040
mi ma 	密碼	c=2 d=1 t=8886
mian 	麪	c=1 d=1 t=3525
mian bao 	麪包	c=2 d=1.99005 t=6359
mian fei 	免費	c=5 d=3.61481 t=5531
mian xiang 	面向	c=1 d=1 t=3567
miao 	妙	c=1 d=1 t=8414
miao 	秒	c=3 d=1.00064 t=9415
miao 	苗	c=1 d=1 t=960
miao dong 	秒懂	c=1 d=1 t=8749
miao shu 	描述	c=1 d=1 t=8214
mie 	滅	c=1 d=1 t=7912
min 	民	c=1 d=1 t=6107
min zu 	民族	c=1 d=1 t=6109
ming 	名	c=6 d=1 t=9839
ming 	明	c=1 d=1 t=8745
ming 	銘	c=3 d=1.10187 t=7906
ming bai 	明白	c=0 d=0.1 t=3314
ming ling 	命令	c=7 d=1.69787 t=2407
ming ling hang 	命令行	c=5 d=1.00127 t=6988
ming ming 	命名	c=1 d=1 t=5574
ming ming 	明明	c=1 d=1 t=8195
ming ming shi 	明明是	c=1 d=1 t=3241
ming qi 	鳴泣	c=5 d=1.06988 t=9978
ming ri 	明日	c=11 d=1.00003 t=10278
ming tian 	明天	c=10 d=2.09964 t=8721
ming xian 	明顯	c=2 d=1.00007 t=9657
ming yi 	名義	c=1 d=1 t=5466
ming yun 	命運	c=2 d=1.00003 t=9473
ming yun shi 	命運石	c=1 d=1 t=6903
ming zi 	名字	c=5 d=1.46071 t=8158
mo 	膜	c=0 d=0.1 t=3374
mo ban 	模板	c=1 d=1 t=8474
mo fa 	魔法	c=1 d=1 t=2080
mo fang 	模仿	c=1 d=1 t=4887
mo fang 	魔方	c=1 d=1 t=2909
mo gui 	魔鬼	c=2 d=1.00002 t=5105
mo kuai 	模塊	c=1 d=1 t=6353
mo ming qi miao 	莫名其妙	c=1 d=1 t=973
mo ni 	模擬	c=2 d=1 t=9780
mo ni qi 	模擬器	c=11 d=2.52177 t=3355
mo qi lai 	摸起來	c=1 d=1 t=5001
mo ren 	默認	c=8 d=1.97045 t=8499
mo shi 	模式	c=20 d=1 t=7385
mo wang 	魔王	c=1 d=1 t=5331
mo yu 	摸魚	c=1 d=1 t=6239
mou 	某	c=2 d=1.00131 t=5410
mu 	姆	c=1 d=1 t=9099
mu ban 	模板	c=7 d=1 t=9922
mu biao 	目標	c=1 d=1 t=1414
mu hai 	目害	c=2 d=1.94176 t=8883
mu lu 	目錄	c=8 d=1 t=7450
mu qian 	目前	c=11 d=3.02354 t=5044
na 	哪	c=1 d=1 t=1579
na 	那	c=18 d=1.43489 t=9434
na ge 	哪個	c=3 d=1.83531 t=9205
na ge 	那個	c=1 d=1 t=10201
na hang 	那行	c=1 d=1 t=4170
na lai 	拿來	c=1 d=1 t=9130
na li 	哪裏	c=3 d=1.00001 t=8631
na li 	那裏	c=1 d=1 t=7963
na me 	那麼	c=2 d=1 t=7595
na yang 	那樣	c=4 d=1 t=10188
na zhong 	那種	c=3 d=1 t=8402
nan dao 	難道	c=1 d=1 t=7479
nan yi 	難以	c=1 d=1 t=1162
nan zhu 	男主	c=2 d=1 t=9371
ne 	呢	c=3 d=1 t=9438
nei cun 	內存	c=6 d=1 t=7417
nei he 	內核	c=2 d=1.70469 t=632
nei rong 	內容	c=3 d=1.17907 t=5815
nei zhi 	內置	c=2 d=1.00005 t=2445
neng 	能	c=7 d=1.00059 t=9100
neng bu neng 	能不能	c=3 d=1.27329 t=6912
neng li 	能力	c=2 d=1.9802 t=8851
ni 	你	c=57 d=4.16158 t=10261
ni men 	你們	c=3 d=1 t=6006
nia nian 	孃年	c=1 d=1 t=10169
nian 	年	c=12 d=1.00385 t=10170
nian 	粘	c=1 d=1 t=2857
nian nian 	年年	c=1 d=1 t=10165
niang 	娘	c=2 d=1.26185 t=9026
nie 	鎳	c=1 d=1 t=7254
nie qing nie ge 	鎳氫鎳鎘	c=1 d=1 t=7252
nin 	您	c=3 d=1 t=10086
nong 	弄	c=3 d=1 t=9532
nong chang 	農場	c=1 d=1 t=9295
nu 	奴	c=0 d=0.1 t=5966
nv zhu 	女主	c=1 d=1 t=5207
o 	哦	c=4 d=1 t=7313
o o 	哦哦	c=3 d=1.00848 t=10176
o o o 	哦哦哦	c=1 d=1 t=3269
pa 	啪	c=1 d=1 t=9433
pa 	怕	c=1 d=1 t=9676
pai 	派	c=0 d=0.1 t=5922
pai lie 	排列	c=2 d=1.00009 t=5835
pai xu 	排序	c=11 d=3.21549 t=9805
pan 	盤	c=3 d=1.51944 t=7388
pan duan 	判斷	c=13 d=1.20177 t=9934
pan fu 	盤符	c=5 d=1.90032 t=9561
pao 	跑	c=2 d=1.25411 t=6885
pao chu 	拋出	c=2 d=1.38289 t=4811
pao mo 	泡沫	c=1 d=1 t=2862
pei 	培	c=2 d=1.82283 t=6112
pei he 	配合	c=2 d=1.7827 t=2691
pei lie 	配列	c=1 d=1 t=1697
pei yin 	配音	c=1 d=1 t=3130
pei zhi 	配置	c=27 d=1.99688 t=9198
pen qi 	噴漆	c=2 d=1.99005 t=7794
peng 	碰	c=1 d=1 t=9890
peng ren 	烹飪	c=1 d=1 t=7471
peng you 	朋友	c=1 d=1 t=8971
peng zhuang 	碰撞	c=1 d=1 t=8445
pi 	屁	c=1 d=1 t=4613
pi 	皮	c=1 d=1 t=1430
pi liang 	批量	c=1 d=1 t=3057
pi pei 	匹配	c=10 d=3.30478 t=5736
pian 	偏	c=2 d=1.98511 t=5239
piao 	嫖	c=1 d=1 t=6014
pin lv 	頻率	c=1 d=1 t=1451
pin yin 	拼音	c=1 d=1 t=122
ping 	屏	c=2 d=1 t=6013
ping fang 	平方	c=1 d=1 t=8734
ping jun 	平均	c=2 d=1 t=5963
ping mian 	平面	c=2 d=1.00001 t=5924
ping mu 	屏幕	c=5 d=2.91967 t=2145
ping shi 	平時	c=3 d=2.63912 t=1960
ping yi 	憑依	c=5 d=0.1 t=6962
ping yi hua 	憑依華	c=1 d=1 t=6963
pu tong 	普通	c=8 d=1.01203 t=8824
qi 	七	c=1 d=1 t=3237
qi 	其	c=6 d=1.00018 t=9708
qi 	器	c=4 d=1.07558 t=8198
qi 	期	c=3 d=1 t=7707
qi 	棋	c=0 d=0.1 t=6766
qi 	綺	c=1 d=1 t=7027
qi chuang 	起牀	c=2 d=1.24414 t=6515
qi dai 	期待	c=2 d=1 t=9480
qi dong 	啓動	c=21 d=1.52883 t=8622
qi fen 	氣氛	c=1 d=1 t=2870
qi guai 	奇怪	c=7 d=1.1338 t=7323
qi ji 	奇蹟	c=1 d=1 t=9382
qi lai 	起來	c=10 d=1.93871 t=9552
qi le 	棄了	c=1 d=1 t=6894
qi pa 	奇葩	c=1 d=1 t=993
qi shi 	其實	c=5 d=1 t=10101
qi ta 	其他	c=8 d=1.00159 t=10052
qi wang 	期望	c=1 d=1 t=2479
qian 	前	c=14 d=1.2586 t=10027
qian 	千	c=1 d=1 t=3108
qian 	錢	c=2 d=1.94176 t=4036
qian bao 	錢包	c=1 d=1 t=3318
qian bi 	鉛筆	c=1 d=1 t=7396
qian liang tian 	前兩天	c=1 d=1 t=6388
qian ru shi 	嵌入式	c=1 d=1 t=9893
qian wan 	千萬	c=1 d=1 t=1605
qian xu 	前序	c=1 d=1 t=8307
qian ze 	譴責	c=1 d=1 t=3276
qiang 	強	c=2 d=1 t=6749
qiang 	槍	c=1 d=1 t=1935
qiang 	牆	c=3 d=1.92315 t=2819
qiang da 	強大	c=2 d=1.52205 t=1289
qiang lie 	強烈	c=1 d=1 t=9117
qiang zhi 	強制	c=4 d=1.34742 t=2882
qiao 	敲	c=1 d=1 t=1689
qie 	切	c=2 d=1.14957 t=3763
qie duan 	切斷	c=2 d=1.94176 t=7683
qie huan 	切換	c=6 d=3.79724 t=2211
qie yuan 	切圓	c=1 d=1 t=6692
qin min 	親民	c=2 d=1.07966 t=3450
qing 	氫	c=1 d=1 t=7255
qing 	請	c=3 d=1.00017 t=9611
qing 	輕	c=1 d=1 t=163
qing chu 	清除	c=1 d=1 t=5215
qing chun 	青春	c=1 d=1 t=6813
qing hua 	清華	c=1 d=1 t=6144
qing jie 	清潔	c=1 d=1 t=6695
qing kuang 	情況	c=5 d=1.0262 t=6585
qing kuang xia 	情況下	c=3 d=1.00001 t=7812
qing li 	清理	c=1 d=1 t=5757
qing qiu 	請求	c=3 d=2.90268 t=4552
qing song 	輕鬆	c=2 d=1 t=9582
qing xi 	清晰	c=1 d=1 t=1543
qiu qiu 	求求	c=1 d=1 t=10085
qu 	區	c=1 d=1 t=254
qu 	去	c=20 d=1.00455 t=9995
qu 	取	c=1 d=1 t=8146
qu 	曲	c=4 d=2.95665 t=5324
qu bie 	區別	c=1 d=1 t=2627
qu dong 	驅動	c=7 d=2.2603 t=8107
qu fan 	取反	c=1 d=1 t=9646
qu xian 	曲線	c=1 d=1 t=1240
qu zheng 	取整	c=1 d=1 t=9801
quan 	全	c=8 d=1.22135 t=9057
quan 	圈	c=1 d=1 t=3209
quan 	權	c=1 d=1 t=5534
quan bu 	全部	c=3 d=1.08982 t=9546
quan bu ren 	全部人	c=1 d=1 t=784
quan cheng 	全程	c=2 d=1 t=6452
quan heng 	權衡	c=1 d=1 t=6471
quan jia 	全加	c=6 d=5.30038 t=8197
quan jia 	全家	c=1 d=1 t=8138
quan jia qi 	全加器	c=2 d=1.73712 t=8204
quan ju 	全局	c=1 d=1 t=2091
quan li 	權利	c=3 d=1.86071 t=5511
quan mian 	全面	c=1 d=1 t=6012
quan neng 	全能	c=1 d=1 t=3362
quan tao 	全套	c=1 d=1 t=3
quan wen 	全文	c=1 d=1 t=7316
quan xian 	權限	c=4 d=3.85951 t=2665
quan xin 	全新	c=1 d=1 t=6437
que 	卻	c=1 d=1 t=1160
que 	雀	c=1 d=1 t=2539
que ding 	確定	c=1 d=1 t=4937
que shi 	確實	c=17 d=2.19991 t=9862
que shi 	缺失	c=1 d=1 t=8591
que yi 	卻以	c=1 d=1 t=7517
que yi 	缺一	c=1 d=1 t=7666
qun 	羣	c=11 d=1.11274 t=8898
ran hou 	然後	c=15 d=1.00002 t=9060
rang 	讓	c=1 d=1 t=3844
rang wo 	讓我	c=1 d=1 t=6372
re dian 	熱點	c=1 d=1 t=3252
re shui 	熱水	c=1 d=1 t=6344
ren 	人	c=11 d=1.66907 t=10134
ren 	刃	c=2 d=1.96561 t=7921
ren bu chu lai 	認不出來	c=1 d=1 t=3645
ren he shi 	任何事	c=1 d=1 t=9933
ren jia 	人家	c=1 d=1 t=2783
ren lei 	人類	c=1 d=1 t=1730
ren qi 	人氣	c=1 d=1 t=7067
ren shi 	認識	c=1 d=1 t=5850
ren shou 	忍受	c=2 d=1 t=2970
ren wu 	人物	c=1 d=1 t=3024
ren yi 	任意	c=2 d=1.93707 t=7685
ren zhen 	認真	c=2 d=1.03354 t=9674
ren zhi 	人質	c=1 d=1 t=6035
reng 	扔	c=2 d=1.0703 t=6560
reng ran 	仍然	c=3 d=1 t=5265
ri 	日	c=2 d=1.00001 t=6065
ri ben dui 	日本隊	c=1 d=1 t=6808
ri chang 	日常	c=2 d=1.6157 t=7455
ri li 	日曆	c=1 d=1 t=3689
ri qi 	日期	c=2 d=1 t=7249
ri wen 	日文	c=1 d=1 t=10281
rong jie 	溶解	c=1 d=1 t=6578
rong yi 	容易	c=1 d=1 t=5287
ru 	入	c=3 d=1.25033 t=4307
ru 	如	c=2 d=1.00557 t=5648
ru ci 	如此	c=1 d=1 t=2480
ru guo 	如果	c=11 d=1.16447 t=10227
ru he 	如何	c=7 d=1.08343 t=9932
ru keng 	入坑	c=1 d=1 t=1927
ru ti 	如題	c=2 d=1.99501 t=3627
ru zhai 	入宅	c=1 d=1 t=10160
ruan 	軟	c=3 d=1.99508 t=6122
ruan jian 	軟件	c=13 d=1.00764 t=9586
rui 	睿	c=3 d=1.00005 t=8881
sa du 	撒督	c=1 d=1 t=7642
sa hua 	撒花	c=1 d=1 t=7353
sai 	塞	c=3 d=1.00184 t=1607
san 	三	c=1 d=1 t=4661
san fen zhi yi 	三分之一	c=1 d=1 t=4678
san hua 	散花	c=2 d=1.93239 t=7351
sang shi 	喪失	c=0 d=0.1 t=6260
sao 	掃	c=2 d=1.18452 t=3305
sao 	騷	c=1 d=1 t=1147
se yu 	色域	c=1 d=1 t=3366
sha 	傻	c=1 d=1 t=5572
sha 	啥	c=4 d=1 t=7220
sha 	沙	c=1 d=1 t=7260
sha du 	殺毒	c=1 d=1 t=7643
sha jun 	殺菌	c=2 d=1.68386 t=7720
sha kan 	傻看	c=1 d=1 t=6669
sha si 	殺死	c=2 d=1.00153 t=2689
shai gan 	曬乾	c=1 d=1 t=7648
shan chu 	刪除	c=28 d=4.78672 t=9928
shan di 	閃迪	c=1 d=1 t=7256
shan tui 	閃退	c=1 d=1 t=1661
shang 	上	c=27 d=1.16035 t=10145
shang 	商	c=1 d=1 t=6093
shang bu qu 	上不去	c=1 d=1 t=934
shang chuan 	上傳	c=10 d=1.00013 t=8868
shang ci 	上次	c=2 d=1 t=9489
shang gu 	上古	c=2 d=1.97045 t=9298
shang jia 	商家	c=2 d=1.95123 t=6474
shang ke 	上課	c=3 d=1.12008 t=1191
shang lai 	上來	c=1 d=1 t=6030
shang qu 	上去	c=5 d=1.02636 t=9572
shang tou 	上頭	c=3 d=1 t=10121
shang xia 	上下	c=3 d=1.19058 t=2827
shang xing qi 	上星期	c=1 d=1 t=1217
shang ye 	商業	c=2 d=1.99005 t=5484
shang yi 	上一	c=0 d=0.1 t=8132
shang yi ci 	上一次	c=2 d=1.9802 t=4654
shang yi ge 	上一個	c=3 d=1.00686 t=5743
shang yi nian 	上一年	c=1 d=1 t=4703
shang yi wei 	上一位	c=2 d=1.77492 t=8184
shang yin 	上癮	c=2 d=1.82696 t=1253
shao 	少	c=2 d=1 t=7758
shao lu 	燒錄	c=3 d=1.00033 t=8108
shao nv 	少女	c=2 d=1.99005 t=5914
shao yu 	少於	c=1 d=1 t=7748
she bei 	設備	c=2 d=1.91851 t=2628
she ding 	設定	c=4 d=1 t=5231
she hui 	社會	c=1 d=1 t=1369
she ji 	設計	c=5 d=1.96899 t=9043
she me 	什麼	c=30 d=1.03749 t=9667
she me gui 	什麼鬼	c=1 d=1 t=6031
she xiang ji 	攝像機	c=1 d=1 t=10064
she zhi 	設置	c=6 d=1.00005 t=8548
shen 	深	c=0 d=0.1 t=7040
shen 	神	c=3 d=1 t=3759
shen 	身	c=1 d=1 t=9960
shen me de 	什麼的	c=1 d=1 t=9562
shen mi lu 	深祕錄	c=3 d=2.78458 t=7087
shen qi 	神奇	c=1 d=1 t=10110
shen ru 	深入	c=1 d=1 t=9994
shen su 	申訴	c=1 d=1 t=405
shen xian 	神仙	c=1 d=1 t=5381
shen zhi 	甚至	c=5 d=1.50002 t=2107
sheng 	昇	c=2 d=1.00003 t=6066
sheng 	生	c=1 d=1 t=547
sheng 	省	c=1 d=1 t=6103
sheng chan 	生產	c=1 d=1 t=7251
sheng chan li 	生產力	c=1 d=1 t=1670
sheng cheng 	生成	c=2 d=1.17996 t=1823
sheng cheng shu 	生成樹	c=1 d=1 t=8391
sheng cun 	生存	c=3 d=2.34066 t=7687
sheng dan jie 	聖誕節	c=1 d=1 t=8948
sheng jing 	聖經	c=1 d=1 t=6752
sheng ka 	聲卡	c=2 d=1.95123 t=8016
sheng ming 	聲明	c=2 d=1.11943 t=5375
sheng shi 	省事	c=1 d=1 t=6991
sheng wu 	生物	c=2 d=1.85214 t=7570
sheng wu quan 	生物圈	c=1 d=1 t=7578
sheng xia 	剩下	c=1 d=1 t=2821
sheng yin 	聲音	c=5 d=1.98511 t=9428
sheng yu 	剩餘	c=1 d=1 t=4533
shi 	使	c=2 d=1.90937 t=5796
shi 	十	c=2 d=1.99005 t=9790
shi 	室	c=1 d=1 t=6071
shi 	市	c=1 d=1 t=6104
shi 	式	c=1 d=1 t=8163
shi 	是	c=127 d=5.81295 t=10216
shi 	時	c=26 d=1.31799 t=10127
shi 	石	c=4 d=1.00374 t=9474
shi bai 	失敗	c=2 d=1 t=9644
shi bu shi 	是不是	c=3 d=1.57123 t=9274
shi bu shi 	時不時	c=1 d=1 t=9345
shi cha 	時差	c=1 d=1 t=5189
shi chang 	市場	c=1 d=1 t=9261
shi chang 	時常	c=1 d=1 t=10062
shi dai 	時代	c=1 d=1 t=8854
shi dang 	適當	c=2 d=1.3413 t=7839
shi fang 	釋放	c=0 d=0.1 t=7324
shi fou 	是否	c=10 d=1.23989 t=9937
shi guo 	試過	c=1 d=1 t=278
shi he 	適合	c=1 d=1 t=8993
shi hou 	時候	c=4 d=1.00034 t=9019
shi ji 	世紀	c=1 d=1 t=3489
shi ji 	實際	c=8 d=1 t=7867
shi jian 	時間	c=23 d=1.38852 t=10044
shi jiao 	視角	c=3 d=1.94182 t=10078
shi jie 	世界	c=2 d=1 t=7947
shi jin zhi 	十進制	c=2 d=1.97531 t=9786
shi kong 	時空	c=1 d=1 t=10137
shi li 	實例	c=1 d=1 t=4941
shi liu 	十六	c=1 d=1 t=3829
shi mo 	石墨	c=7 d=3.94921 t=7407
shi pin 	視頻	c=13 d=3.73331 t=10220
shi pin 	食品	c=10 d=3.8231 t=7852
shi qing 	事情	c=2 d=1 t=4711
shi shi 	實時	c=3 d=1.00075 t=2599
shi shi 	試試	c=12 d=1.02656 t=8026
shi shi kan 	試試看	c=1 d=1 t=7059
shi shi shang 	事實上	c=3 d=1.38108 t=7828
shi tou 	石頭	c=1 d=1 t=9400
shi wei 	視爲	c=3 d=1.96755 t=10081
